650,3,4,7,11,31,41
651,11,12,16,26,29,44
652,3,13,15,40,41,44
653,5,6,26,27,38,39
654,16,21,26,31,36,43
655,7,37,38,39,40,44
656,3,7,14,16,31,40
657,10,14,19,39,40,43
658,8,19,25,28,32,36
659,7,18,19,27,29,42
660,4,9,23,33,39,44
661,2,3,12,20,27,38
662,5,6,9,11,15,37
663,3,5,8,19,38,42
664,10,20,33,36,41,44
665,5,6,11,17,38,44
666,2,4,6,11,17,28
667,15,17,25,37,42,43
668,12,14,15,24,27,32
669,7,8,20,29,33,38
670,11,18,26,27,40,41
671,7,9,10,13,31,35
672,8,21,28,31,36,45
673,7,10,17,29,33,44
674,9,10,14,25,27,31
675,1,8,11,15,18,45
676,1,8,17,34,39,45
677,12,15,24,36,41,44
678,4,5,6,12,25,37
679,3,5,7,14,26,34
680,4,10,19,29,32,42
681,21,24,27,29,43,44
682,17,23,27,35,38,43
683,6,13,20,27,28,40
684,1,11,15,17,25,39
685,6,7,12,28,38,40
686,7,12,15,24,25,43
687,1,8,10,13,28,42
688,5,15,22,23,34,35
689,7,17,19,30,36,38
690,24,25,33,34,38,39
691,15,27,33,35,43,45
692,3,11,14,15,32,36
693,1,6,11,28,34,42
694,7,15,20,25,33,43
695,4,18,26,33,34,38
696,1,7,16,18,34,38
697,2,5,8,11,33,39
698,3,11,13,21,33,37
699,4,5,8,16,21,29
700,11,23,28,29,30,44
701,3,10,14,16,36,38
702,3,13,16,24,26,29
703,10,28,31,33,41,44
704,1,4,8,23,33,42
705,1,6,17,22,28,45
706,3,4,6,10,28,30
707,2,12,19,24,39,44
708,2,10,16,19,34,45
709,10,18,30,36,39,44
710,3,4,9,24,25,33
711,11,15,24,35,37,45
712,17,20,30,31,33,45
713,2,5,15,18,19,23
714,1,7,22,33,37,40
715,2,7,27,33,41,44
716,2,6,13,16,29,30
717,2,11,19,25,28,32
718,4,11,20,23,32,39
719,4,8,13,19,20,43
720,1,12,29,34,36,37
721,1,28,35,41,43,44
722,12,14,21,30,39,43
723,20,30,33,35,36,44
724,2,8,33,35,37,41
725,6,7,19,21,41,43
726,1,11,21,23,34,44
727,7,8,10,19,21,31
728,3,6,10,30,34,37
729,11,17,21,26,36,45
730,4,10,14,15,18,22
731,2,7,13,25,42,45
732,2,4,5,17,27,32
733,11,24,32,33,35,40
734,6,16,37,38,41,45
735,5,10,13,27,37,41
736,2,11,17,18,21,27
737,13,15,18,24,27,41
738,23,27,28,38,42,43
739,7,22,29,33,34,35
740,4,8,9,16,17,19
741,5,21,27,34,44,45
742,8,10,13,36,37,40
743,15,19,21,34,41,44
744,10,15,18,21,34,41
745,1,2,3,9,12,23
746,3,12,33,36,42,45
747,7,9,12,14,23,28
748,3,10,13,22,31,32
749,12,14,24,26,34,45
750,1,2,15,19,24,36
751,3,4,16,20,28,44
752,4,16,20,33,40,43
753,2,17,19,24,37,41
754,2,8,17,24,29,31
755,13,14,26,28,30,36
756,10,14,16,18,27,28
757,6,7,11,17,33,44
758,5,9,12,30,39,43
759,9,33,36,40,42,43
760,10,22,27,31,42,43
761,4,7,11,24,42,45
762,1,3,12,21,26,41
763,3,8,16,32,34,43
764,7,22,24,31,34,36
765,1,3,8,12,42,43
766,9,30,34,35,39,41
767,5,15,20,31,34,42
768,7,27,29,30,38,44
769,5,7,11,16,41,45
770,1,9,12,23,39,43
771,6,10,17,18,21,29
772,5,6,11,14,21,41
773,8,12,19,21,31,35
774,12,15,18,28,34,42
775,11,12,29,33,38,42
776,8,9,18,21,28,40
777,6,12,17,21,34,37
778,6,21,35,36,37,41
779,6,12,19,24,34,41
780,15,17,19,21,27,45
781,11,16,18,19,24,39
782,6,18,31,34,38,45
783,14,15,16,17,38,45
784,3,10,23,24,31,39
785,4,6,15,25,26,33
786,12,15,16,20,24,30
787,5,6,13,16,27,28
788,2,10,11,19,35,39
789,2,6,7,12,19,45
790,3,8,19,27,30,41
791,2,10,12,31,33,42
792,2,7,19,25,29,36
793,10,15,21,35,38,43
794,6,7,18,19,30,38
795,3,10,13,26,34,38
796,1,21,26,36,40,41
797,5,22,31,32,39,45
798,2,10,14,22,32,36
799,12,17,23,34,42,45
800,1,4,10,12,28,45
801,17,25,28,37,43,44
802,10,11,12,18,24,42
803,5,9,14,26,30,43
804,1,10,13,26,32,36
805,3,12,13,18,31,32
806,14,20,23,31,37,38
807,6,10,18,25,34,35
808,15,21,31,32,41,43
809,6,11,15,17,23,40
810,5,10,13,21,39,43
811,8,11,19,21,36,45
812,1,3,12,14,16,43
813,11,30,34,35,42,44
814,2,21,28,38,42,45
815,17,21,25,26,27,36
816,12,18,19,29,31,39
817,3,9,12,13,25,43
818,14,15,25,28,29,30
819,16,25,33,38,40,45
820,10,21,22,30,35,42
821,1,12,13,24,29,44
822,9,18,20,24,27,36
823,12,18,24,26,39,40
824,7,9,24,29,34,38
825,8,15,21,31,33,38
826,13,16,24,25,33,36
827,5,11,12,29,33,44
828,4,7,13,29,31,39
829,4,5,31,35,43,45
830,5,6,16,18,37,38
831,3,10,16,19,31,39
832,13,14,19,26,40,43
833,12,18,30,39,41,42
834,6,8,18,35,42,43
835,9,10,13,28,38,45
836,1,9,11,14,26,28
837,2,25,28,30,33,45
838,9,14,17,33,36,38
839,3,9,11,12,13,19
840,2,4,11,28,29,43
841,5,11,14,30,33,38
842,14,26,32,36,39,42
843,19,21,30,33,34,42
844,7,8,13,15,33,45
845,1,16,29,33,40,45
846,5,18,30,41,43,45
847,12,16,26,28,30,42
848,1,2,16,22,38,39
849,5,13,17,29,34,39
850,16,20,24,28,36,39
851,14,18,22,26,31,44
852,11,17,28,30,33,35
853,2,8,23,26,27,44
854,20,25,31,32,36,43
855,8,15,17,19,43,44
856,10,24,40,41,43,44
857,6,10,16,28,34,38
858,9,13,32,38,39,43
859,8,22,35,38,39,41
860,4,8,18,25,27,32
861,11,17,19,21,22,25
862,10,34,38,40,42,43
863,16,21,28,35,39,43
864,3,7,10,13,25,36
865,3,15,22,32,33,45
866,9,15,29,34,37,39
867,14,17,19,22,24,40
868,12,17,28,41,43,44
869,2,6,20,27,37,39
870,21,25,30,32,40,42
871,2,6,12,26,30,34
872,2,4,30,32,33,43
873,3,5,12,13,33,39
874,1,15,19,23,28,42
875,19,22,30,34,39,44
876,5,16,21,26,34,42
877,5,17,18,22,23,43
878,2,6,11,16,25,31
879,1,4,10,14,15,35
880,7,17,19,23,24,45
881,4,18,20,26,27,32
882,18,34,39,43,44,45
883,9,18,32,33,37,44
884,4,14,23,28,37,45
885,1,3,24,27,39,45
886,19,23,28,37,42,45
887,8,14,17,27,36,45
888,3,7,12,31,34,38
889,3,13,29,38,39,42
890,1,4,14,18,29,37
